ID,優先度,企業名,区分,アプローチ,業種,都道府県,主要エリア,掲載件数,拠点数,通年採用,初回掲載,最終掲載,掲載期間日数,推定月額出稿,スコア,注意,問い合わせ先検索,求人サンプル,HP_URL,フォームURL,ステータス,送信日,返信,メモ
IND-0001,S,株式会社パック・エックス,地方企業,運用代行フル,アミューズメント,岐阜県/山口県/新潟県/熊本県,大垣市美濃青柳/大垣市大外羽/池田町美濃本郷,20,20,要確認,2026-07-28,2026-08-09,12,30万円〜,468,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%91%E3%83%83%E3%82%AF%E3%83%BB%E3%82%A8%E3%83%83%E3%82%AF%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aad9wkzjf6wg,,,未着手,,,
IND-0002,S,株式会社ニチイ学館,全国大手,エリア／支社単位,介護,広島県/鹿児島県/岐阜県/富山県/石川県/青森県/山形県/福島県/山口県/長崎県/熊本県,坂町坂西/広島市長楽寺/肝付町新富,18,18,○,2026-02-23,2026-08-04,162,30万円〜,449,同名別法人の合算の可能性,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%8B%E3%83%81%E3%82%A4%E5%AD%A6%E9%A4%A8%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aac7stqchftl,,,未着手,,,
IND-0003,S,株式会社K-plusサービス,地方企業,運用代行フル,建設,秋田県/宮崎県/福岡県/北海道,男鹿市船越/高原町大字広原/宮崎市,16,15,要確認,2026-07-15,2026-07-24,9,30万円〜,310,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEK-plus%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aakd6v8xbwzs,,,未着手,,,
IND-0004,S,株式会社ネクステージ,全国大手,エリア／支社単位,自動車,大分県/福岡県/和歌山県/熊本県/北海道,大分市南鶴崎/筑後市大字前津/新宮町緑ケ浜,15,9,△,2026-05-25,2026-08-09,76,30万円〜,252,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%8D%E3%82%AF%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B8%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aagt6ccqnxsk,,,未着手,,,
IND-0005,S,株式会社キャリア,地方派遣,大量求人の運用・原稿量産,派遣,新潟県/熊本県,新潟市越後石山/宇城市小川町新田/八代市鏡町鏡村,10,10,要確認,2026-07-29,2026-08-03,5,30万円〜,252,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aahdlzfy8pvx,,,未着手,,,
IND-0006,S,SPARK株式会社,地方企業,運用代行フル,介護,徳島県/愛知県/沖縄県/山形県/長崎県/大分県,徳島市丈六町/名古屋市山田/名古屋市高宮町,9,9,要確認,2026-07-13,2026-07-14,1,30万円〜,230,,https://www.google.com/search?q=%22SPARK%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aayd48vwsssb,,,未着手,,,
IND-0007,S,株式会社ツクイ,全国大手,エリア／支社単位,介護,山形県/岩手県/三重県/山口県/宮崎県/島根県,山形市江俣/奥州市水沢区花園町/松阪市松ヶ崎,8,7,○,2026-02-18,2026-08-03,166,30万円〜,223,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%84%E3%82%AF%E3%82%A4%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aag2qlx8gtdl,,,未着手,,,
IND-0008,S,株式会社とらいろ,地方企業,運用代行フル,警備,愛媛県,上浮穴郡/喜多郡/松山市,8,8,○,2026-03-06,2026-06-21,107,30万円〜,215,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A8%E3%82%89%E3%81%84%E3%82%8D%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa4698qqvk8v,,,未着手,,,
IND-0009,S,株式会社綜合キャリアオプション,全国大手派遣,支店単位・原稿量産,派遣,広島県/岡山県/長野県,広島市/広島市出島/府中町新地,7,6,○,2026-03-16,2026-08-03,140,30万円〜,202,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E7%B6%9C%E5%90%88%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2%E3%82%AA%E3%83%97%E3%82%B7%E3%83%A7%E3%83%B3%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aawrpgkgrbtr,,,未着手,,,
IND-0010,S,ユースタイルラボラトリー株式会社,全国大手,エリア／支社単位,介護,新潟県/沖縄県/岐阜県/大分県,新潟市新津/新潟市新潟駅/宜野湾市普天間,6,6,○,2026-02-27,2026-06-21,114,10〜30万円,190,,https://www.google.com/search?q=%22%E3%83%A6%E3%83%BC%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%E3%83%A9%E3%83%9C%E3%83%A9%E3%83%88%E3%83%AA%E3%83%BC%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa4frhln8wrm,,,未着手,,,
IND-0011,S,株式会社テノ.コーポレーション,全国大手,エリア／支社単位,保育,福岡県/熊本県,北九州市吉志/福岡市城南区/那珂川市,9,8,○,2025-11-27,2026-03-30,123,30万円〜,189,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%86%E3%83%8E.%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aals92k44tlz,,,未着手,,,
IND-0012,S,株式会社トライアルカンパニー,全国大手,エリア／支社単位,小売,熊本県/福島県/鳥取県/福岡県/北海道,山鹿市山鹿/南相馬市/郡山市,8,8,○,2025-09-01,2026-01-25,146,30万円〜,179,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%88%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa4rv47xzwf6,,,未着手,,,
IND-0013,S,株式会社ANNO-P,地方企業,運用代行フル,介護,山口県,山口市/周南市/山口市黒川,7,5,○,2026-03-15,2026-08-02,140,10〜30万円,174,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEANNO-P%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aakbr7tfcqw6,,,未着手,,,
IND-0014,S,マミーズ株式会社,地方企業,運用代行フル,小売,熊本県/福岡県,宇城市松橋町曲野/八代市千丁町太牟田/荒尾市,11,6,要確認,2026-02-27,2026-02-27,0,30万円〜,173,,https://www.google.com/search?q=%22%E3%83%9E%E3%83%9F%E3%83%BC%E3%82%BA%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aan2q8bk7pst,,,未着手,,,
IND-0015,S,株式会社ヴァティー,地方企業,運用代行フル,介護,栃木県/山梨県/静岡県/茨城県,高根沢町宝積寺/上三川町しらさぎ/さくら市氏家,6,6,△,2026-06-30,2026-08-04,35,10〜30万円,166,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%B4%E3%82%A1%E3%83%86%E3%82%A3%E3%83%BC%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aajhxplsy4g8,,,未着手,,,
IND-0016,S,株式会社CyXen,地方企業,運用代行フル,介護,愛知県/沖縄県/青森県,豊田市元宮町/南城市/沖縄市松本,6,5,△,2026-06-26,2026-08-09,44,10〜30万円,156,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BECyXen%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aan4m2js8l28,,,未着手,,,
IND-0017,S,株式会社マツモトキヨシ九州販売,全国大手,エリア／支社単位,小売,福岡県/熊本県,福岡市吉塚本町/福岡市今宿/春日市春日原北町,7,7,要確認,2026-08-07,2026-08-07,0,30万円〜,156,,https://www.google.com/search?q=%22%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9E%E3%83%84%E3%83%A2%E3%83%88%E3%82%AD%E3%83%A8%E3%82%B7%E4%B9%9D%E5%B7%9E%E8%B2%A9%E5%A3%B2%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa8hgjbc7qbm,,,未着手,,,
IND-0018,S,チムニー株式会社,全国大手,エリア／支社単位,飲食,熊本県/北海道/鹿児島県,熊本市東町/札幌市南三条西/霧島市国分中央,7,3,要確認,2026-07-16,2026-07-29,13,10〜30万円,149,,https://www.google.com/search?q=%22%E3%83%81%E3%83%A0%E3%83%8B%E3%83%BC%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%22%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,https://to.indeed.com/aa6hhs77v6xl,,,未着手,,,
